ID,Question,Context_with_label,LONG_ANSWER,final_decision
65f86a90c4010b4d78000057,Is there an approved vaccine against Helicobacter pylori?,"H. pylori, the development of an efficacious vaccine is a valid option to protect from disease or infection and ultimately prevent gastric cancer. However, despite more than 30 years of research, no vaccine has entered the market yet advances of H. pylori vaccines from two aspects, candidates of antigens and adjuvants, to provide references for the development of vaccine against this bacterium Despite an extensive list of attempts to develop a vaccine, no approved vaccine against H. pylori is available. Unfortunately, no vaccine against H. pylori is currently licensed, and protective immunity mechanisms against H. pylori are only partially understood. After the discovery of Helicobacter pylori (H. pylori), and the evidence of its relationship with gastric diseases, antibiotic-based therapies were developed, which efficacy was however limited by antibiotic resistance and lack of patient compliance. A vaccine would overcome these drawbacks, but currently there is not any H. pylori vaccine licensed. An effective vaccine against H pylori is years away. but currently there is not any H. pylori vaccine licensed. A vaccine would overcome these drawbacks, but currently there is not any H. pylori vaccine licensed.",No. There is currently no approved vaccine against Helicobacter pylori.,no
65f86f03c4010b4d7800005b,Is Marburg virus a member of the family of the Ebola virus (Filoviridae)?,"Several filoviruses infect bats (e.g., Marburg virus African Filovirus (Ebola and Marburg) filoviruses (ebolaviruses and Marburg virus) The Filoviridae family encompasses Ebola strains such as Sudan, Zaire, Bundibugyo, Tai Forest (formerly known as Ivory Coast), Reston, and Bombali, in addition to the closely related Marburg and Ravn virus strains Marburg and Ebola filoviruses are two of the deadliest infectious agents and several outbreaks have occurred in the last decades Viruses in the family Filoviridae, including the commonly known Ebola (EBOV) and Marburg (MARV) viruses, can cause severe hemorrhagic fever in humans and nonhuman primates Marburg virus, the prototype of the family Filoviridae, differs genetically, serologically, and morphologically from Ebola viruses. UNLABELLED: Ebola virus (EBOV) and Marburg virus (MARV) belong to the Filoviridae family and can cause outbreaks of severe hemorrhagic fever, with high mortality rates in humans. Marburg virus (MARV) and Ebola virus (EBOV) belong to the family Filoviridae. Ebola viruses (EBOV) and Marburg virus belong to the family Filoviridae, order Mononegavirales.","Yes, Marburg virus is a member of the family of the Ebola virus (Filoviridae).",yes
65d12ae11930410b13000030,Can fingolimod be used during pregnancy?,"Interferon beta 1a SC was preferred over other treatments for patients with mild to moderate MS and planning for pregnancy (56.6%) or breastfeeding (60.2%). Fingolimod was not a choice for these patients.  In total, 45 patients (18.8%) permanently discontinued treatment because of AEs related to study drug; two patients reported pregnancy after treatment initiation and subsequently discontinued the treatment; no deaths were reported. GOLEMS study demonstrated the sustained effectiveness and manageable safety profile of fingolimod under real-world conditions over 48 months in patients with MS. Concerns about COVID-19 had a noticeable impact on administering high efficacy drugs like rituximab and fingolimod. However, in male patients this approach has not been the case. It may be related to more aggressive disease course in this group. The other possible explanation could be planning for pregnancy in female cases. BACKGROUND: Authorizations of fingolimod, teriflunomide and cladribine were accompanied by risk minimization measures concerning their teratogenic potential. Fingolimod : contraindicated during pregnancy due to suspected risk of congenital malformations.  Drugs with a known potential of teratogenicity such as fingolimod or teriflunomide should be avoided and recommended wash-out times for medications such as cladribine, alemtuzumab or ocrelizumab should be considered.  Caution should be exercised when prescribing fingolimod and natalizumab to patients with multiple sclerosis who are of childbearing potential because of the risk of disease rebound when they are discontinued Current evidence supports the contraindication for fingolimod during pregnancy; data on other DMTs remains limited. Fingolimod is suspected to be harmful for fetal development, and the use of this drug should be stopped no later than two months before discontinuing the contraception. Conception should be discouraged for patients on fingolimod, because of the limited information available on human pregnancy outcomes.",No. Fingolimod has teratogenic potential and therefore should not be used during pregnancy.,no
65cfd68a1930410b13000021,Is sectoral Heterochromia associated with Crohn's disease?,"A case of unilateral sectoral iris heterochromia in an infant with Beckwith-Wiedemann syndrome. PURPOSE: To report a case of unilateral sectoral iris heterochromia in an infant with Beckwith-Wiedemann syndrome (BWS).  This is the first reported case of iris heterochromia in a BWS patient. The first case is an example of Waardenburg's type II (without dystopia canthorum) with bilateral sectoral iris heterochromia and fundus bicolor, hyperpigmented skin patches, characteristic facies and deafness. ",No. There are no published reports to suggest an association of sectoral Heterochromia with Crohn's disease.,no
65f82fe1c4010b4d7800003f,Methotrexate is an antifolate medication.,"Methotrexate (MTX) is an antifolate antifolate medications, such as methotrexate Methotrexate (MTX) is an antimetabolite and antifolate drug used in the treatment of cancer and autoimmune diseases. INTRODUCTION: Methotrexate is an antifolate medication frequently used in the treatment of malignant and nonmalignant diseases. Methotrexate is a well known antifolate. Antifolate methotrexate (MTX), a drug commonly used in chemotherapy of several types of cancer, is a strong inhibitor of folate metabolism. Methotrexate (MTX), an antifolate drug, is the first-line disease-modifying agent for the treatment of rheumatoid arthritis (RA) worldwide. Methotrexate is an antimetabolite and antifolate drug that is widely used in the treatment of malignancies and auto-immune disorders. Methotrexate (MTX), the antifolate drug widely used as both an anticancer chemotherapeutic drug and as an immunosuppressive agent, mimics natural folates to inhibit critical cellular biosynthetic pathways. Methotrexate, the most studied folate antagonist, is effective in many malignancies.",Yes,yes
65d131451930410b13000034,Is GC1118 effective for glioblastoma?," This study did not meet the primary endpoint (PFS6); however, we found that immune signatures were significantly upregulated in the tumors with regression upon GC1118 therapy, which signifies the potential of immune-mediated antitumor efficacy of GC1118.",No. GC1118 did not prolong progression free survival of patients with glioblastoma.,no
65f70d71c4010b4d7800001e,Is COACH syndrome a rare autosomal recessive genetic disease characterized by liver fibrosis and related to portal hypertension.,"The clinical features of cerebellar vermis hypoplasia, oligophrenia, ataxia, coloboma, and hepatic fibrosis (COACH) characterize the rare autosomal recessive multisystem disorder called COACH syndrome. COACH syndrome is a rare autosomal recessive genetic disease characterized by liver fibrosis, which leads to severe complications related to portal hypertension.  COACH syndrome is a rare autosomal recessive genetic disease characterized by liver fibrosis, which leads to severe complications related to portal hypertension Physicians should be aware of COACH syndrome when they examine young patients who present with hepatopathy, portal hypertension of unknown origin and cerebellar ataxia. We describe a 28-yr-old female with COACH syndrome resulting in chronic renal and hepatic insufficiency Hepatic insufficiency and liver transplantation in a patient with COACH syndrome. BACKGROUND: COACH syndrome is a rare autosomal recessive genetic disease characterized by liver fibrosis, which leads to severe complications related to portal hypertension. The acronym COACH defines an autosomal recessive condition of Cerebellar vermis hypo/aplasia, Oligophrenia, congenital Ataxia, Coloboma and Hepatic fibrosis. OBJECTIVE: To identify genetic causes of COACH syndromeBACKGROUND: COACH syndrome is a rare autosomal recessive disorder characterised by Cerebellar vermis hypoplasia, Oligophrenia (developmental delay/mental retardation), Ataxia, Coloboma, and Hepatic fibrosis. MKS3/TMEM67 mutations are a major cause of COACH Syndrome, a Joubert Syndrome related disorder with liver involvement.","COACH syndrome is a rare autosomal recessive genetic disease characterized by liver fibrosis, which leads to severe complications related to portal hypertension.",yes
65cfd13f1930410b1300001d,Can syphilis cause proctitis?,"A 26-year-old man in Australia who has sex with men had severe perianal ulceration, proctitis, and skin lesions develop. Testing revealed primary syphilis, mpox, and primary HIV infection.  Syphilitic proctitis presenting as locally advanced rectal cancer: A case report. We present a case of severe syphilitic proctitis leading to large bowel obstruction with imaging findings mimicking locally advanced rectal cancer.  Severe proctitis leading to large bowel obstruction is a possible presentation of syphilis, and a high degree of clinical suspicion is necessary to be able to accurately identify the cause.  ABSTRACT: We analyzed microbiologic etiologies of proctitis among patients seen in an urban sexual health clinic during 2011 to 2021. Among 759 cases, 179 (24%) tested positive for Neisseria gonorrhoeae , 171 (23%) for Chlamydia trachomatis , 21 (3%) for herpes simplex virus, 30 (4%) for syphilis, and 73 (10%) for multiple pathogens; no pathogen was identified in 425 (56%). The patient tested positive for syphilis and was diagnosed with syphilitic proctitis Final pathology on the rectal biopsies demonstrated positive Warthin-Starry and spirochete immunohistochemical stain.DISCUSSION: This case illustrates key aspects in the care of a patient with syphilitic proctitis mimicking an obstructing rectal cancer, including the need for high clinical suspicion, thorough evaluation including sexual and sexually transmitted disease history, multidisciplinary communication, and management of the Jarisch-Herxheimer reaction. Severe proctitis leading to large bowel obstruction is a possible presentation of syphilis, and a high degree of clinical suspicion is necessary to be able to accurately identify the cause. Syphilitic proctitis involving the rectal mucosa often presents with pain on defecation, rectal bleeding, or ulceration. We present a case of asymptomatic syphilitic proctitis diagnosed upon a routine screening colonoscopy. A Case of Asymptomatic Syphilitic Proctitis.",Yes. Syphilis can cause proctitis.,yes
65d126d21930410b1300002c,Can denosumab cause jaw necrosis?,"BACKGROUND: Medication-related osteonecrosis of the jaw (MRONJ) is an infrequent, but potentially serious, adverse event that can occur after exposure to bone-modifying agents (BMAs; e.g., bisphosphonates, denosumab, and antiangiogenic therapies).  Osteonecrosis of the jaw (ONJ) is a severe complication of therapy with antiresorptive agents (e.g. bisphosphonates and denosumab), which are used to manage bone metastases from cancer, to reduce the incidence of skeletal-related events. Aggressive denosumab-related jaw necrosis - a case series. We are presenting four cases of MRONJ related to denosumab treatment showing increasingly aggressive pictures of the disease.  A total of 383 cases were registered: 369 were described as BRONJ, 5 as avascular necrosis, and 9 were unknown. Bisphosphonates had been given orally in 207 (56%), intravenously in 125 (34%), both orally and intravenously in 27 (7%), and was unknown in 9 (2%); one had been given denosumab.  Osteonecrosis of the jaw has recently been described in patients receiving subcutaneous administration of RANKL-inhibitors (denosumab). Medication-related osteonecrosis of the jaws (MRONJ) is a serious debilitating disease resulting from long-term treatment with Antiresorptive drugs such as Bisphosphonates or Denosumab, which significantly affects patients' quality of life PURPOSE: Osteonecrosis of the jaw has been recently reported in patients receiving denosumab for the treatment of metastatic bone disease and osteoporosis. 33 (5%) patients on denosumab developed osteonecrosis of the jaw versus none on placebo. Denosumab and anti-angiogenetic drug-related osteonecrosis of the jaw: an uncommon but potentially severe disease.",Yes. Denosumab can cause jaw necrosis,yes
65d126471930410b1300002b,Is Upadacitinib effective for Crohn’s Disease?,"BACKGROUND: Upadacitinib is a selective Janus kinase inhibitor approved for the management of ulcerative colitis and is under evaluation for the management of Crohn's disease [CD] in Phase 3 clinical trials.  In this real-world cohort of highly refractory CD patients, upadacitinib was effective in inducing remission and had an acceptable safety profile. Successful treatment of concomitant alopecia universalis and Crohn's disease with upadacitinib: A case report. Upadacitinib, an oral JAK1 inhibitor, has demonstrated efficacy in treating Crohn's disease during phase III clinical trials.  Upadacitinib Is Safe and Effective for Crohn's Disease: Real-World Data from a Tertiary Center. Phase II trials demonstrated that upadacitinib induces endoscopic remission in patients with moderate-to-severe Crohn's disease.  In this cohort of medically refractory patients with CD, treatment with upadacitinib resulted in subjective and objective responses in 25 and 42% of patients, respectively. Even at doses that are considered lower than currently being studied for CD, upadacitinib was associated with a favorable benefit-to-risk profile. Upadacitinib also showed promising results in a phase II trial in moderate to severe CD.  BACKGROUND & AIMS: Upadacitinib is a novel selective Janus kinase 1 inhibitor that has shown efficacy in the treatment of moderate to severe ulcerative colitis (UC) and Crohn's disease (CD), and has received Food and Drug Administration approval for UC. Phase II trials demonstrated that upadacitinib induces endoscopic remission in patients with moderate-to-severe Crohn's disease.",Yes. Upadacitinib is effective for Crohn’s Disease.,yes
65f0369bc4010b4d78000001,Is melatonin beneficial in the treatment of in cerebral ischemia-reperfusion injury:,"Melatonin regulates microglial polarization and protects against ischemic stroke-induced brain injury in mice. Melatonin is a promising neuroprotective agent that can regulate microglial polarization in central nervous system (CNS) diseases. Melatonin Attenuates Cerebral Ischemia/Reperfusion Injury through Inducing Autophagy Melatonin improves cognitive function by suppressing endoplasmic reticulum stress and promoting synaptic plasticity during chronic cerebral hypoperfusion in rats. Melatonin is neuroprotective against cerebral ischemia-reperfusion injury (CIRI) in non-DM, normoglycemic animals through anti-oxidant effect, anti-inflammation, and anti-apoptosis Melatonin Attenuates Cerebral Ischemia/Reperfusion Injury through Inducing Autophagy. Melatonin potentiated intrinsic antioxidant status, inhibited acid mediated rise in intracellular calcium levels, decreased apoptotic cell death and also markedly inhibited protein kinase C (PKC) influenced AQP4 expression in the cerebral cortex and dorsal striatum.SIGNIFICANCE: Melatonin confers neuroprotection by protein kinase C mediated AQP4 inhibition in ischemic stroke. Melatonin, the secretory product of the pineal gland, is known to be neuroprotective in cerebral ischemia, which is so far mostly attributed to its antioxidant properties. Melatonin treatment diminished the loss of neurons and decreased the infarct volume as compared with untreated MCAO rats. Melatonin: a promising neuroprotective agent for cerebral ischemia-reperfusion injury.","Yes, melatonin is beneficial in treating cerebral ischemia-reperfusion injury:",yes
